test_name,metric_name,projection,mean,std,cv,n_observations,non_discriminant
GRA-001,degree_variance,volatility,7.2750053624390105,6.417798603907568,0.8821709791504461,2400,False
GRA-001,density,volatility,1.7984500322873433,3.825752970518151,2.127250077474991,2400,False
PAT-001,concentration_top10,volatility,0.27233930385776345,0.9717868078863915,3.568294381753775,2400,False
PAT-001,diversity_simpson,volatility,0.19616567857338849,1.3683583819980623,6.975523914017095,2400,False
PAT-001,uniformity,volatility,0.06205293071897998,0.3058051707437979,4.928134210593571,2400,False
SPA-001,gradient_magnitude,volatility,0.21765623765836048,1.0536433732267827,4.840859993549148,2400,False
SPA-001,laplacian_energy,volatility,1.5579725228416383,3.427949139285575,2.2002628987533255,2400,False
SPA-001,smoothness,volatility,0.15916503680602473,0.42357015338826903,2.661200989162439,2400,False
SPE-001,eigenvalue_max,volatility,inf,,,2400,False
SPE-001,spectral_gap,volatility,0.5900704641235864,1.8130837450852466,3.072656327203505,2400,False
SPE-001,spectral_radius,volatility,inf,,,2400,False
SYM-001,asymmetry_norm,volatility,2.2119140613682715,4.070985643485784,1.84048092762135,2400,False
SYM-001,asymmetry_norm_normalized,volatility,0.886093562008578,3.311643194427149,3.7373516030523763,2400,False
TOP-001,connected_components,volatility,0.48190929728797743,1.376797362348994,2.856963686106792,2400,False
TOP-001,euler_characteristic,volatility,0.4735477555044479,0.8359276659691065,1.765244700777079,2400,False
TOP-001,holes_count,volatility,0.878273841140605,2.4489104693605253,2.7883222232602884,2400,False
UNIV-001,frobenius_norm,volatility,1.8980495095512724,3.279401690532949,1.7277745780763376,2400,False
UNIV-002,trace_absolute,volatility,inf,,,2400,False
UNIV-002,trace_normalized,volatility,inf,,,2400,False
GRA-001,clustering_local,relative_change,123787084.48907407,1042930238.8608556,8.425194301695575,2400,False
GRA-001,degree_variance,relative_change,185052725.76485607,4128115846.0840144,22.30778189849283,2400,False
GRA-001,density,relative_change,123913751.1079682,1043160957.2367148,8.41844386042184,2400,False
PAT-001,concentration_top10,relative_change,0.6525746719082859,0.43176153224410624,0.661627781203232,2400,False
